Date,Volume,Amount,Open,High,Low,Close,Change,Transactions
2026-02-02,65660345,14146239487,219.5,220.0,213.5,214.5,-6.0,98433
2026-02-03,42920416,9305896810,218.5,220.0,214.5,216.5,2.0,37764
2026-02-04,27678218,6006005709,214.5,219.0,214.0,219.0,2.5,27877
2026-02-05,43304385,9395278758,217.5,220.0,215.0,215.5,-3.5,40001
2026-02-06,56581372,12094098268,215.0,216.5,210.5,215.0,-0.5,49991
2026-02-09,31063914,6790047933,219.0,220.5,217.5,218.5,3.5,27738
2026-02-10,47159412,10395442089,220.0,222.0,218.0,221.0,2.5,41265
2026-02-11,67662179,15227871661,222.5,227.0,220.5,227.0,6.0,58996
2026-02-23,89438337,20484840309,229.5,231.0,227.0,228.5,1.5,58657
2026-02-24,68380419,15807760926,229.5,232.5,228.0,232.0,3.5,52089
2026-02-25,168289021,40771218065,235.0,247.0,234.5,246.5,14.5,164175
2026-02-26,122692650,30070220979,253.5,253.5,241.5,243.0,-3.5,133219
2026-03-02,75106481,17837046251,234.0,241.0,232.5,239.0,-4.0,78895
2026-03-03,87819659,20415819056,239.0,240.0,228.0,229.0,-10.0,122333
2026-03-04,122301965,26748024357,224.5,225.0,216.5,217.0,-12.0,133412
2026-03-05,55660316,12480037425,224.5,228.0,222.0,224.0,7.0,47861
2026-03-06,37319287,8284985732,221.0,223.5,219.0,223.0,-1.0,31086
2026-03-09,93407607,19576427237,208.0,212.5,206.0,210.5,-12.5,110783
2026-03-10,69438646,14721492405,216.0,216.5,209.5,209.5,-1.0,76351
2026-03-11,54702636,11869345300,212.5,220.0,212.5,219.0,9.5,47571
2026-03-12,45309134,9742723558,217.0,218.5,213.0,214.5,-4.5,54688
2026-03-13,36890490,7884236728,211.5,216.0,210.0,214.5,0.0,32449
2026-03-16,38534463,8319744215,216.0,217.5,214.0,216.5,2.0,28544
2026-03-17,110777320,23627888398,215.5,216.5,212.0,212.0,-4.5,122819
2026-03-18,77136445,16286470703,212.5,213.5,210.0,210.0,-2.0,90963
2026-03-19,89096476,18364171662,207.5,207.5,205.0,205.0,-5.0,135863
2026-03-20,92925929,18814966145,203.5,205.0,200.5,203.0,-2.0,93930
2026-03-23,78470506,15385926618,196.5,197.5,195.0,196.0,-7.0,121660
2026-03-24,56280296,11063942210,198.5,199.5,194.0,195.0,-1.0,62593
2026-03-25,43133240,8590139879,200.0,201.0,197.0,200.0,5.0,39973
2026-03-26,41973121,8527296581,202.5,206.0,200.5,200.5,0.5,43536
2026-03-27,29525374,5852919796,197.0,200.5,196.5,199.5,-1.0,33104
2026-03-30,46503907,9034499881,194.5,195.5,193.0,194.0,-5.5,60931
2026-03-31,95729350,18136622253,191.0,192.5,187.5,187.5,-6.5,99913
2026-05-04,57506042,13028901060,224.0,229.5,223.5,227.5,8.0,48021
2026-05-05,162873566,38242818193,227.5,240.0,227.0,239.5,12.0,129745
2026-05-06,240330399,59900737351,246.5,253.0,245.0,252.0,12.5,167309
2026-05-07,128767846,32675028299,255.0,258.0,250.0,253.5,1.5,99338
2026-05-08,102375417,25681314188,254.0,256.0,245.5,250.0,-3.5,90563
2026-05-11,63063740,15967564839,256.5,258.0,251.0,252.0,2.0,53855
2026-05-12,84325367,21054986313,254.0,254.0,246.0,250.0,-2.0,64483
2026-05-13,72415109,17904870346,246.5,251.0,242.5,251.0,1.0,54330
2026-05-14,73360409,18260193256,255.0,255.0,244.0,244.5,-6.5,98873
2026-05-15,138413483,35053027233,249.0,260.0,247.0,248.5,4.0,106675
2026-05-18,63512356,15672562637,251.0,251.0,241.0,248.5,0.0,55720
2026-05-19,70223341,17474685394,251.0,254.0,244.0,245.0,-3.5,52910
2026-05-20,62650287,15132372673,246.5,246.5,239.5,240.0,-5.0,72312
2026-05-21,51483466,12723783372,245.0,249.0,244.0,247.5,7.5,39019
2026-05-22,56310552,14068289262,249.0,251.5,245.0,250.0,2.5,42953
2026-05-25,122990174,31917908130,255.0,263.5,255.0,261.0,11.0,107476
2026-05-26,55665305,14456095922,262.5,263.5,257.0,259.0,-2.0,52788
2026-05-27,78352856,20785977986,263.0,269.0,261.0,264.0,5.0,71175
2026-05-28,73792269,19558676146,265.0,269.5,259.5,263.0,-1.0,70332
2026-05-29,289511198,82003231787,269.0,289.0,268.0,289.0,26.0,189186
2026-06-01,205766647,61545917998,302.0,304.5,293.0,293.5,4.5,167855
2026-06-02,113076476,33730767792,297.5,302.0,293.0,301.5,8.0,97760
2026-06-03,149620933,46070597795,306.0,314.0,299.0,309.0,7.5,119544
2026-06-04,110760779,33140015179,309.0,309.0,293.0,293.0,-16.0,146574
2026-06-05,93158859,26506350945,290.5,292.5,278.0,284.5,-8.5,105075
2026-06-08,117863651,31298320100,257.5,272.0,257.5,269.5,-15.0,126170
2026-06-09,74649081,20371868977,270.5,277.5,268.5,277.5,8.0,69999
2026-06-10,93369272,25034494841,271.0,274.0,262.5,263.0,-14.5,124841
2026-06-11,97550509,25053452346,260.0,262.5,251.5,258.5,-4.5,102097
2026-06-12,60260948,15902363857,266.5,269.0,260.0,260.5,2.0,56015
2026-06-15,54689024,14654327677,271.0,272.5,265.0,267.5,7.0,47325
2026-06-16,56878574,15292916716,270.0,271.0,265.5,269.0,1.5,40470
2026-06-17,42755242,11510771202,266.0,272.0,264.0,272.0,3.0,44766
2026-06-18,68996866,18605623168,270.5,271.5,268.5,268.5,-3.5,53509
2026-06-22,67145972,18191564426,270.0,275.5,268.5,268.5,0.0,62768
2026-06-23,92063800,24189817018,270.0,270.5,259.0,259.5,-9.0,112205
