Date,Volume,Amount,Open,High,Low,Close,Change,Transactions
2026-02-02,33342359,58467099660,1750.0,1765.0,1745.0,1765.0,-10.0,227693
2026-02-03,30386718,54587495232,1810.0,1810.0,1785.0,1800.0,35.0,63370
2026-02-04,29087857,51994350134,1785.0,1805.0,1775.0,1785.0,-15.0,89612
2026-02-05,28974303,51204573629,1765.0,1780.0,1760.0,1765.0,-20.0,119686
2026-02-06,36484181,64250417914,1745.0,1780.0,1740.0,1780.0,15.0,117607
2026-02-09,40350444,73691322355,1830.0,1835.0,1815.0,1815.0,35.0,80215
2026-02-10,45674475,85190057142,1845.0,1880.0,1840.0,1880.0,65.0,102694
2026-02-11,44684131,85272506875,1880.0,1925.0,1875.0,1915.0,35.0,150409
2026-02-23,80768993,154476054854,1900.0,1935.0,1900.0,1900.0,-15.0,209838
2026-02-24,44316733,86410656276,1915.0,1975.0,1915.0,1965.0,65.0,99586
2026-02-25,47398835,95168256834,1995.0,2025.0,1995.0,2015.0,50.0,145278
2026-02-26,74411249,148677652002,2000.0,2010.0,1995.0,1995.0,-20.0,199342
2026-03-02,57404594,113190016272,1940.0,1995.0,1940.0,1975.0,-20.0,325611
2026-03-03,54577298,106561209060,1970.0,1980.0,1935.0,1935.0,-40.0,528433
2026-03-04,84647010,159499070920,1895.0,1910.0,1865.0,1865.0,-70.0,728396
2026-03-05,56489914,108468004433,1940.0,1960.0,1895.0,1900.0,35.0,235975
2026-03-06,34307388,64781776164,1880.0,1900.0,1880.0,1890.0,-10.0,202376
2026-03-09,94441296,169437885289,1775.0,1810.0,1770.0,1810.0,-80.0,744799
2026-03-10,46926862,87458820143,1870.0,1890.0,1830.0,1850.0,40.0,234136
2026-03-11,39238328,75243103048,1885.0,1950.0,1875.0,1940.0,90.0,124214
2026-03-12,40662382,77082966123,1900.0,1915.0,1885.0,1885.0,-55.0,236370
2026-03-13,36317450,67622758569,1840.0,1885.0,1840.0,1865.0,-20.0,223622
2026-03-16,35401289,65728459791,1875.0,1880.0,1845.0,1845.0,-20.0,221249
2026-03-17,26754183,50039306073,1875.0,1880.0,1860.0,1870.0,0.0,81783
2026-03-18,25694925,48868043836,1900.0,1910.0,1890.0,1905.0,35.0,77134
2026-03-19,38750629,72170579700,1875.0,1880.0,1850.0,1850.0,-55.0,386193
2026-03-20,53705722,99109745990,1860.0,1870.0,1840.0,1840.0,-10.0,208042
2026-03-23,41950478,75569592075,1790.0,1815.0,1785.0,1810.0,-30.0,360785
2026-03-24,30569936,55773861470,1850.0,1850.0,1800.0,1810.0,0.0,125816
2026-03-25,46664345,86692213662,1865.0,1875.0,1845.0,1845.0,35.0,92102
2026-03-26,24634887,45564939400,1850.0,1865.0,1840.0,1840.0,-5.0,81572
2026-03-27,33883223,61384010665,1805.0,1825.0,1800.0,1820.0,-20.0,165562
2026-03-30,46272405,82684350734,1780.0,1800.0,1780.0,1780.0,-40.0,335778
2026-03-31,75832456,134202434218,1775.0,1790.0,1760.0,1760.0,-20.0,472213
2026-04-01,46457423,85667372522,1840.0,1855.0,1830.0,1855.0,95.0,103263
2026-04-02,29332490,53540295381,1865.0,1865.0,1805.0,1810.0,-45.0,189628
2026-04-07,19895445,36785851775,1850.0,1860.0,1835.0,1860.0,50.0,72329
2026-04-08,53813263,104453237705,1935.0,1950.0,1925.0,1950.0,90.0,169595
2026-04-09,36054784,70112621815,1945.0,1955.0,1930.0,1955.0,5.0,90439
2026-04-10,39096242,77669362959,1975.0,2000.0,1970.0,2000.0,45.0,125121
2026-04-13,31882568,63311620986,1985.0,1995.0,1975.0,1990.0,-10.0,123461
2026-04-14,46188401,93890695630,2015.0,2055.0,2010.0,2055.0,65.0,175477
2026-04-15,46824833,97435290780,2065.0,2100.0,2060.0,2080.0,25.0,144126
2026-04-16,35974352,74662997629,2080.0,2090.0,2055.0,2085.0,5.0,121077
2026-04-17,44433257,90757552556,2055.0,2060.0,2030.0,2030.0,-55.0,254377
2026-04-20,30566172,62379639275,2030.0,2055.0,2025.0,2025.0,-5.0,99020
2026-04-21,28055761,57761069758,2050.0,2075.0,2045.0,2050.0,25.0,75235
2026-04-22,27457065,56435407734,2045.0,2070.0,2040.0,2050.0,0.0,83438
2026-04-23,54918117,114822791851,2090.0,2135.0,2055.0,2080.0,30.0,161370
2026-04-24,52391785,112917570260,2110.0,2190.0,2105.0,2185.0,105.0,174859
2026-04-27,79778277,183309899207,2280.0,2330.0,2265.0,2265.0,80.0,323994
2026-04-28,57336004,128432565716,2245.0,2280.0,2215.0,2215.0,-50.0,308514
2026-04-29,49147402,107324137160,2175.0,2210.0,2165.0,2180.0,-35.0,233692
2026-04-30,59584011,129082703075,2205.0,2215.0,2135.0,2135.0,-45.0,290470
2026-05-04,44458732,99944198300,2200.0,2285.0,2195.0,2275.0,140.0,129173
2026-05-05,26644983,60009590420,2250.0,2270.0,2240.0,2250.0,-25.0,153870
2026-05-06,38026963,85874042414,2250.0,2285.0,2240.0,2250.0,0.0,125342
2026-05-07,41966283,97374950118,2335.0,2345.0,2310.0,2310.0,60.0,127355
2026-05-08,31730352,72760055995,2300.0,2310.0,2265.0,2290.0,-20.0,153342
2026-05-11,46172626,104025934565,2265.0,2275.0,2235.0,2235.0,-55.0,377408
2026-05-12,54239538,121891443938,2235.0,2280.0,2210.0,2255.0,20.0,183443
2026-05-13,43727683,96933847961,2205.0,2240.0,2205.0,2220.0,-35.0,259489
2026-05-14,39564699,89220307307,2250.0,2270.0,2230.0,2270.0,50.0,83872
2026-05-15,34360513,78454021723,2310.0,2325.0,2250.0,2265.0,-5.0,129447
2026-05-18,32966937,73654895962,2225.0,2260.0,2215.0,2240.0,-25.0,146159
2026-05-19,45585931,100876592734,2220.0,2230.0,2205.0,2205.0,-35.0,277760
2026-05-20,38332945,84197244281,2205.0,2210.0,2185.0,2185.0,-20.0,233768
2026-05-21,24929331,55826019099,2240.0,2255.0,2230.0,2230.0,45.0,75045
2026-05-22,26823133,60188140377,2245.0,2260.0,2225.0,2255.0,25.0,95365
2026-05-25,28250944,64901118325,2275.0,2310.0,2275.0,2310.0,55.0,120043
2026-05-26,32781470,75166410300,2320.0,2325.0,2270.0,2270.0,-40.0,203876
2026-05-27,40272350,93104987424,2310.0,2330.0,2290.0,2300.0,30.0,124314
2026-05-28,42313277,98017950283,2350.0,2360.0,2270.0,2295.0,-5.0,208403
2026-05-29,104783831,246787941206,2340.0,2375.0,2330.0,2355.0,60.0,127095
2026-06-01,60942792,144105259583,2355.0,2415.0,2350.0,2355.0,0.0,136367
2026-06-02,41532527,98885005900,2390.0,2400.0,2360.0,2380.0,25.0,99496
2026-06-03,29219904,70861766012,2425.0,2440.0,2410.0,2425.0,45.0,89415
2026-06-04,32542948,77931338144,2385.0,2415.0,2385.0,2385.0,-40.0,196886
2026-06-05,43403895,102970368110,2395.0,2405.0,2350.0,2365.0,-20.0,364351
2026-06-08,52273858,119557290165,2230.0,2320.0,2230.0,2295.0,-70.0,436256
2026-06-09,38847544,89604249837,2305.0,2320.0,2295.0,2305.0,10.0,156384
2026-06-10,54194021,123146622990,2285.0,2300.0,2255.0,2255.0,-50.0,510491
2026-06-11,46417523,104091484739,2240.0,2260.0,2210.0,2250.0,0.0,320151
2026-06-12,26306885,60666936905,2325.0,2325.0,2290.0,2310.0,60.0,77219
2026-06-15,30228535,71454258620,2360.0,2375.0,2345.0,2375.0,65.0,96307
2026-06-16,37145708,88421095704,2375.0,2400.0,2350.0,2400.0,25.0,99659
2026-06-17,30059393,71151958866,2355.0,2385.0,2350.0,2385.0,-15.0,143625
2026-06-18,49982610,120198889493,2395.0,2415.0,2385.0,2410.0,25.0,103190
2026-06-22,45207883,112735082698,2455.0,2510.0,2455.0,2510.0,100.0,159770
2026-06-23,39537895,99064704659,2510.0,2535.0,2490.0,2490.0,-20.0,148609
2026-06-24,67304477,162505741547,2435.0,2445.0,2390.0,2390.0,-100.0,527599
2026-06-25,41099957,98673938497,2410.0,2420.0,2390.0,2390.0,0.0,132387
2026-06-26,53800344,126177715258,2360.0,2370.0,2325.0,2340.0,-50.0,464927
2026-06-29,38133782,90337385683,2330.0,2395.0,2330.0,2370.0,30.0,93276
2026-06-30,49540227,120516271220,2440.0,2475.0,2410.0,2410.0,40.0,104582
2026-07-01,37544470,93600076825,2495.0,2505.0,2475.0,2505.0,95.0,111091
2026-07-02,35919290,88369879773,2450.0,2480.0,2445.0,2465.0,-40.0,132697
2026-07-03,32905868,80082636340,2415.0,2465.0,2415.0,2445.0,-20.0,154750
2026-07-06,21041918,52022654454,2465.0,2500.0,2455.0,2460.0,15.0,80246
2026-07-07,31400854,77617188273,2480.0,2500.0,2440.0,2440.0,-20.0,132943
2026-07-08,25519599,62400639776,2445.0,2465.0,2420.0,2465.0,25.0,94688
2026-07-09,34681018,84397735035,2450.0,2460.0,2415.0,2415.0,-50.0,201698
2026-07-13,35310380,86697387632,2460.0,2480.0,2440.0,2440.0,25.0,94215
2026-07-14,42857055,103370532441,2410.0,2430.0,2390.0,2420.0,-20.0,275423
2026-07-15,33665566,82213791038,2425.0,2460.0,2415.0,2440.0,20.0,79059
2026-07-16,30538604,74750491934,2430.0,2470.0,2420.0,2470.0,30.0,97957
2026-07-17,97362670,229051751965,2375.0,2395.0,2290.0,2290.0,-180.0,1150086
2026-07-20,55790346,129815956839,2300.0,2345.0,2300.0,2320.0,30.0,188463
2026-07-21,31391663,74919339130,2350.0,2410.0,2345.0,2410.0,90.0,88056
