Date,Volume,Amount,Open,High,Low,Close,Change,Transactions
2026-02-02,282567486,18090031239,66.3,66.9,62.6,62.6,-6.9,154717
2026-02-03,308535252,19473377777,66.0,67.4,57.9,59.7,-2.9,187367
2026-02-04,223557376,14277796314,60.0,65.6,59.9,65.6,5.9,108409
2026-02-05,203499311,12833802258,63.0,64.7,61.5,62.8,-2.8,126313
2026-02-06,340736299,21640886801,62.7,66.3,60.0,63.5,0.7,148410
2026-02-09,294168948,19491941455,67.8,68.5,63.7,63.8,0.3,144063
2026-02-10,192703938,12354135705,64.3,65.9,62.6,64.3,0.5,113471
2026-02-11,214396111,13735457320,63.0,65.5,62.8,63.1,-1.2,111472
2026-02-23,257714887,17388897236,65.8,68.9,65.3,67.0,3.9,122154
2026-02-24,337047858,23977646265,67.9,73.7,66.1,73.7,6.7,183024
2026-02-25,487502723,36519111235,74.7,77.0,72.6,76.8,3.1,237890
2026-02-26,322304137,24760862793,76.8,78.9,75.4,76.7,-0.1,177913
2026-03-02,248095174,18655368511,71.4,77.8,71.4,74.8,-1.9,140939
2026-03-03,373534446,26473655864,76.2,77.0,67.4,68.2,-6.6,195813
2026-03-04,210778981,13243164856,63.2,65.4,61.4,61.4,-6.8,121741
2026-03-05,211842643,13880330602,66.4,67.4,63.4,64.4,3.0,99973
2026-03-06,144135138,9331162927,63.9,66.3,63.3,64.3,-0.1,70318
2026-03-09,135415285,7913316948,58.0,59.4,57.9,59.4,-4.9,72134
2026-03-10,140297005,8807377285,63.8,64.2,60.5,62.2,2.8,70347
2026-03-11,169992993,11260615975,64.0,67.5,63.5,66.3,4.1,85412
2026-03-12,171086491,11084539116,66.6,66.8,63.1,63.1,-3.2,94057
2026-03-13,135963192,8658930507,62.0,64.8,61.9,64.3,1.2,64357
2026-03-16,254597003,16861362714,65.7,67.4,65.1,65.2,0.9,116289
2026-03-17,393355372,27602708209,67.1,71.7,66.8,71.7,6.5,184427
2026-03-18,404267429,29615113787,76.0,76.2,70.7,71.9,0.2,203925
2026-03-19,513362980,38154676481,70.1,77.8,68.6,75.0,3.1,254005
2026-03-20,529033042,39714524139,77.1,78.0,71.7,75.5,0.5,257730
2026-03-23,243486481,17144692269,71.0,72.3,68.6,69.1,-6.4,129519
2026-03-24,369690172,24062444165,71.3,71.4,62.5,62.7,-6.4,190714
2026-03-25,278832681,17913554201,64.1,66.2,62.1,65.0,2.3,135508
2026-03-26,289190595,18722999356,65.3,67.5,62.8,62.8,-2.2,139041
2026-03-27,222663654,13111299759,60.5,61.2,57.1,59.2,-3.6,116935
2026-03-30,206031533,12036947599,57.5,60.1,57.0,58.1,-1.1,92222
2026-03-31,207091698,11133975327,55.0,55.7,52.4,53.1,-5.0,101838
2026-04-01,148151777,8189291339,57.0,57.0,54.3,54.9,1.8,69845
2026-04-02,155762985,8583324534,56.5,57.2,53.5,53.5,-1.4,71453
2026-04-07,96302858,5188336913,55.0,55.4,52.7,54.0,0.5,45782
2026-04-08,115253686,6587324289,55.9,57.9,55.8,57.6,3.6,55248
2026-04-09,134072246,7410548999,58.0,58.0,53.8,54.0,-3.6,75938
2026-04-10,134034940,7441143064,54.9,57.0,54.1,55.4,1.4,63426
2026-04-13,101937555,5540699532,55.4,55.5,53.6,54.5,-0.9,50032
2026-04-14,109787192,6058801324,55.5,56.4,54.5,54.6,0.1,53467
2026-04-15,101747295,5525946765,55.8,56.2,53.1,53.2,-1.4,59308
2026-04-16,85975346,4610142632,53.3,54.3,52.4,54.0,0.8,40511
2026-04-17,87074889,4615898597,53.6,54.3,52.5,52.6,-1.4,49736
2026-04-20,99368654,5140319961,52.7,52.9,51.0,51.4,-1.2,52244
2026-04-21,109355837,5873442096,52.5,54.3,52.5,54.0,2.6,58916
2026-04-22,219996918,12487682292,56.0,58.5,54.9,57.0,3.0,111773
2026-04-23,209440294,11582286606,58.9,59.1,52.0,52.9,-4.1,103200
2026-04-24,81283272,4290080964,53.8,53.8,51.6,52.9,0.0,44224
2026-04-27,145171547,7945503573,53.3,56.2,53.0,54.5,1.6,70124
2026-04-28,101666278,5597284540,55.2,55.7,54.2,55.0,0.5,48496
2026-04-29,63666631,3442720163,54.8,55.2,53.5,53.5,-1.5,33947
2026-04-30,94428431,4962186525,53.9,54.0,51.8,51.9,-1.6,46151
2026-05-04,97020345,5127217650,52.7,53.5,51.6,53.1,1.2,39746
2026-05-05,106346121,5803426045,53.4,55.5,52.9,55.4,2.3,48766
2026-05-06,255770836,14850739320,58.8,59.8,56.3,58.1,2.7,110727
2026-05-07,312338758,19487014085,60.5,63.9,58.0,63.9,5.8,101921
2026-05-08,442180347,28155548511,65.0,66.5,60.1,61.4,-2.5,205130
2026-05-11,283121477,18090492483,64.9,66.0,62.5,62.5,1.1,128901
2026-05-12,170376997,10526798921,63.0,63.3,60.4,62.1,-0.4,85782
2026-05-13,118112300,7058252403,60.7,60.8,59.0,60.5,-1.6,60093
2026-05-14,196451270,12220164175,61.8,63.4,60.8,62.2,1.7,90025
2026-05-15,356822147,22974440367,63.0,67.0,62.3,62.8,0.6,159558
2026-05-18,127532182,7784989880,62.0,63.1,59.2,62.0,-0.8,67868
2026-05-19,143820864,8600136823,61.5,62.3,58.1,58.5,-3.5,77683
2026-05-20,84341651,4872619629,58.7,59.4,56.6,57.8,-0.7,44609
2026-05-21,96108084,5746493289,59.3,61.2,58.9,59.1,1.3,50064
2026-05-22,218295235,13789563114,60.3,64.8,60.2,63.8,4.7,103426
2026-05-25,321963402,21299840468,65.0,68.2,62.3,67.6,3.8,151078
2026-05-26,354361201,25203786720,69.9,73.6,68.0,70.8,3.2,172588
2026-05-27,414941224,31098396635,75.9,77.0,72.6,74.8,4.0,197452
2026-05-28,742969935,59225840118,75.6,82.2,73.5,80.7,5.9,309046
2026-05-29,829646406,70112295081,85.4,88.7,78.8,88.7,8.0,353091
2026-06-01,770941542,69440101937,93.2,94.5,87.0,87.0,-1.7,396507
2026-06-02,106203381,9099598551,87.0,88.6,83.7,85.9,-1.1,69090
2026-06-03,64659229,5519856322,88.0,88.0,84.1,84.6,-1.3,46550
2026-06-04,73514423,5999401793,82.9,83.4,80.2,81.0,-3.6,52950
2026-06-05,112133197,8336799434,77.0,77.0,73.0,74.6,-6.4,70311
2026-06-08,104480847,7050617547,67.2,68.3,67.2,67.5,-7.1,62995
2026-06-09,57680845,4080403422,70.4,71.5,69.9,71.5,4.0,34074
2026-06-10,132801225,8743372819,67.0,67.8,64.4,64.4,-7.1,93226
2026-06-11,70706900,4492407743,62.6,65.1,62.1,64.4,0.0,36395
2026-06-12,65105100,4400629633,68.0,68.0,67.0,67.2,2.8,36815
2026-06-15,87139878,6278059076,69.6,73.9,69.6,73.3,6.1,53135
2026-06-16,291491338,21658016429,75.0,77.6,71.0,71.0,-2.3,153808
2026-06-17,187705638,13271623036,70.1,72.5,69.4,70.2,-0.8,106988
2026-06-18,245700060,17947697838,71.5,75.3,70.7,74.2,4.0,123782
2026-06-22,133236652,10776448747,79.5,81.6,78.5,81.6,7.4,61846
2026-06-23,504938034,41433242859,82.8,86.1,78.3,78.6,-3.0,240231
2026-06-24,476043030,39341921758,78.0,85.7,77.2,85.7,7.1,225273
2026-06-25,479667659,40969065659,89.3,89.3,82.8,83.2,-2.5,243473
2026-06-26,332913359,27239977569,83.2,85.2,78.1,78.3,-4.9,177267
2026-06-29,220163758,17540081599,79.9,82.3,77.6,78.9,0.6,109218
2026-06-30,197058093,15622246503,79.9,80.4,77.8,79.7,0.8,98515
2026-07-01,264774867,20077012345,80.2,80.5,72.7,74.3,-5.4,144123
2026-07-02,155504558,11443165955,70.4,75.8,70.3,74.7,0.4,72557
2026-07-03,101737426,7520216005,73.3,75.1,72.1,73.4,-1.3,57505
2026-07-06,153798168,11454973670,74.2,77.4,72.5,72.6,-0.8,82394
2026-07-07,161281480,11608838011,73.0,74.3,69.7,70.1,-2.5,78693
2026-07-08,139718171,9755632881,70.8,71.5,67.1,71.2,1.1,66974
2026-07-09,156986667,11361862085,71.5,74.3,70.9,71.1,-0.1,74897
2026-07-13,117782988,8279438686,72.4,73.0,68.1,69.0,-2.1,61742
2026-07-14,175281346,11755010174,69.0,70.4,63.4,69.2,0.2,87745
2026-07-15,197628288,14989053274,74.0,76.1,73.8,76.1,6.9,62264
